Guideline,ID,XLSM ID,Initial Status,Status,Judge Action,Judge Reason,DOCX Control Requirement,XLSM Control Requirement,Judgment Changed
Data Center and Physical Protection Guideline_v.2.0,13.2,13.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Where applicable, buildings should be unobtrusive and give minimum indication of their purpose, with no obvious signs, outside or inside the building, identifying the presence of information processing activities.","Where applicable, buildings should be unobtrusive and give minimum indication of their purpose, with no obvious signs, outside or inside the building, identifying the presence of information processing activities.",False
Data Center and Physical Protection Guideline_v.2.0,13.3,13.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Electromagnetic shielding should also be considered as appropriate.,Electromagnetic shielding should also be considered as appropriate.,False
Data Center and Physical Protection Guideline_v.2.0,13.4,13.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"All power and communication lines must be protected against unauthorized access, physical tampering, interception, flash burst, fire and/or damage.","All power and communication lines must be protected against unauthorized access, physical tampering, interception, flash burst, fire and/or damage.",False
Data Center and Physical Protection Guideline_v.2.0,13.5,13.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Adequate health monitoring, tamper detection and physical surveillance of access panels/cabling, critical bridge rooms, etc. must be performed regularly.","Adequate health monitoring, tamper detection and physical surveillance of access panels/cabling, critical bridge rooms, etc. must be performed regularly.",False
Data Center and Physical Protection Guideline_v.2.0,13.6,13.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Power and telecommunications lines into information processing facilities must be placed underground, where applicable.","Power and telecommunications lines into information processing facilities must be placed underground, where applicable.",False
Data Center and Physical Protection Guideline_v.2.0,13.7,13.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Power and telecommunication lines must be separated to prevent interference.,Power and telecommunication lines must be separated to prevent interference.,False
Data Center and Physical Protection Guideline_v.2.0,13.8,13.8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Network cabling must be protected from unauthorized interception or damage (by using a conduit or by avoiding routes through public areas).,Network cabling must be protected from unauthorized interception or damage (by using a conduit or by avoiding routes through public areas).,False
Data Center and Physical Protection Guideline_v.2.0,13.9,13.9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Clearly identifiable cable and equipment markings must be used to minimize handling errors.,Clearly identifiable cable and equipment markings must be used to minimize handling errors.,False
Data Center and Physical Protection Guideline_v.2.0,14,14,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that measures are defined and in place to protect against environmental threats.,It must be ensured that measures are defined and in place to protect against environmental threats.,False
Data Center and Physical Protection Guideline_v.2.0,14.1,14.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Physical protection against natural disasters must be designed and applied following a risk-based approach.,Physical protection against natural disasters must be designed and applied following a risk-based approach.,False
Data Center and Physical Protection Guideline_v.2.0,14.2,14.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Advice regarding environmental issues and how to deal with them should be obtained.,Advice regarding environmental issues and how to deal with them should be obtained.,False
Data Center and Physical Protection Guideline_v.2.0,14.3,14.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Environmental conditions, such as temperature and humidity, must be monitored for conditions which could adversely affect the operation of information processing facilities.","Environmental conditions, such as temperature and humidity, must be monitored for conditions which could adversely affect the operation of information processing facilities.",False
Data Center and Physical Protection Guideline_v.2.0,14.4,14.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Lightning protection must be applied to all buildings and lightning protection filters must be fitted to all incoming power and communications lines.,Lightning protection must be applied to all buildings and lightning protection filters must be fitted to all incoming power and communications lines.,False
Data Center and Physical Protection Guideline_v.2.0,15,15,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"It must be ensured that buildings, rooms and sensitive designated areas are monitored for unauthorized physical access and relevant events are logged.","It must be ensured that buildings, rooms and sensitive designated areas are monitored for unauthorized physical access and relevant events are logged.",False
Data Center and Physical Protection Guideline_v.2.0,15.1,15.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Buildings, rooms and sensitive designated areas must be continuously monitored for unauthorized physical access by surveillance systems, either managed internally or by a monitoring service provider.","Buildings, rooms and sensitive designated areas must be continuously monitored for unauthorized physical access by surveillance systems, either managed internally or by a monitoring service provider.",False
Data Center and Physical Protection Guideline_v.2.0,15.2,15.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In accordance with the applicable regulations, business needs and information security objectives, physical access logs must follow a retention period of 2 years.","In accordance with the applicable regulations, business needs and information security objectives, physical access logs must follow a retention period of 2 years.",False
Data Center and Physical Protection Guideline_v.2.0,15.3,15.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In accordance with the applicable regulations, business needs and information security objectives, CCTV logs must follow a minimum retention period of 3 days. If a longer retention period than 3 days is required due to the ""legitimate interest"" provision under Article 6 (1) (f) of the GDPR, it must be approved by the Data Protection Unit.","In accordance with the applicable regulations, business needs and information security objectives, CCTV logs must follow a minimum retention period of 3 days. If a longer retention period than 3 days is required due to the ""legitimate interest"" provision under Article 6 (1) (f) of the GDPR, it must be approved by the Data Protection Unit.",False
Data Center and Physical Protection Guideline_v.2.0,16,16,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that physical access control measures are defined and in place.,It must be ensured that physical access control measures are defined and in place.,False
Data Center and Physical Protection Guideline_v.2.0,16.1,16.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"People with access to buildings, rooms and sensitive designated areas must be identified and logged. The identification and logging process must follow a risk-based approach.","People with access to buildings, rooms and sensitive designated areas must be identified and logged. The identification and logging process must follow a risk-based approach.",False
Data Center and Physical Protection Guideline_v.2.0,16.2,16.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Physical access rights to critical non-IT Assets must be granted based on the need-to-know and least privilege principles and on an ad-hoc basis.,Physical access rights to critical non-IT Assets must be granted based on the need-to-know and least privilege principles and on an ad-hoc basis.,False
Data Center and Physical Protection Guideline_v.2.0,16.3,16.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Physical access to buildings, rooms and sensitive designated areas must be monitored.","Physical access to buildings, rooms and sensitive designated areas must be monitored.",False
Data Center and Physical Protection Guideline_v.2.0,16.4,16.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Physical access rights must be reviewed to ensure prompt revoking of unnecessary access rights.,Physical access rights must be reviewed to ensure prompt revoking of unnecessary access rights.,False
Data Center and Physical Protection Guideline_v.2.0,17,17,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Visitors must be treated specially with regard to physical access to buildings, rooms and sensitive designated areas, if relevant.","Visitors must be treated specially with regard to physical access to buildings, rooms and sensitive designated areas, if relevant.",False
Data Center and Physical Protection Guideline_v.2.0,17.1,17.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Visitors must be authenticated by appropriate means.,Visitors must be authenticated by appropriate means.,False
Data Center and Physical Protection Guideline_v.2.0,17.2,17.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,The data and time of entry and departure of the visitors should be recorded.,The data and time of entry and departure of the visitors should be recorded.,False
Data Center and Physical Protection Guideline_v.2.0,17.3,17.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"All visitors must be supervised within the buildings, rooms and, if relevant, sensitive designated areas, of DBG.","All visitors must be supervised within the buildings, rooms and, if relevant, sensitive designated areas, of DBG.",False
Data Center and Physical Protection Guideline_v.2.0,17.4,17.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Access for visitors must only be granted for specific, authorized purposes and with instructions on the area and on emergency procedures.","Access for visitors must only be granted for specific, authorized purposes and with instructions on the area and on emergency procedures.",False
Data Center and Physical Protection Guideline_v.2.0,18,18,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that measures are in place to protect sensitive designated areas,It must be ensured that measures are in place to protect sensitive designated areas,False
Data Center and Physical Protection Guideline_v.2.0,18.1,18.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Sensitive designated areas must be identified.,Sensitive designated areas must be identified.,False
Data Center and Physical Protection Guideline_v.2.0,18.2,18.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Specific protection measures to protect sensitive designated areas from attacks, accidents, and environmental threats and hazards must be defined and applied.","Specific protection measures to protect sensitive designated areas from attacks, accidents, and environmental threats and hazards must be defined and applied.",False
Data Center and Physical Protection Guideline_v.2.0,18.3,18.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Arrangements for working in secure areas must cover employees and the external party users.,Arrangements for working in secure areas must cover employees and the external party users.,False
Data Center and Physical Protection Guideline_v.2.0,19,19,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that measures are defined and in place for protecting equipment accordingly against threats.,It must be ensured that measures are defined and in place for protecting equipment accordingly against threats.,False
Data Center and Physical Protection Guideline_v.2.0,19.1,19.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Equipment must be sited and protected to reduce the risks from environmental threats and hazards, opportunities for unauthorized access and with consideration of reduction of viewing information by unauthorized personnel.","Equipment must be sited and protected to reduce the risks from environmental threats and hazards, opportunities for unauthorized access and with consideration of reduction of viewing information by unauthorized personnel.",False
Data Center and Physical Protection Guideline_v.2.0,19.10,19.10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"IT Assets and non-IT Assets must be secured, both within and outside the buildings and rooms, and results of risk assessments must be taken into account. The measures must also include appropriate protection to unattended IT Assets and non-IT Assets.","IT Assets and non-IT Assets must be secured, both within and outside the buildings and rooms, and results of risk assessments must be taken into account. The measures must also include appropriate protection to unattended IT Assets and non-IT Assets.",False
Data Center and Physical Protection Guideline_v.2.0,19.2,19.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,The equipment must be adequately managed. Risks arising from outdated ICT Systems must be regularly identified and evaluated (lifecycle management).,The equipment must be adequately managed. Risks arising from outdated ICT Systems must be regularly identified and evaluated (lifecycle management).,False
Data Center and Physical Protection Guideline_v.2.0,19.3,19.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Equipment must be correctly maintained (according to the maintenance documentation to ensure its continued availability and integrity) to ensure its availability, authenticity, integrity, and confidentiality.","Equipment must be correctly maintained (according to the maintenance documentation to ensure its continued availability and integrity) to ensure its availability, authenticity, integrity, and confidentiality.",False
Data Center and Physical Protection Guideline_v.2.0,19.4,19.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Only authorized maintenance personnel should carry out repairs.,Only authorized maintenance personnel should carry out repairs.,False
Data Center and Physical Protection Guideline_v.2.0,19.5,19.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Records should be kept of all suspected or actual faults, and of all preventive and corrective maintenance.","Records should be kept of all suspected or actual faults, and of all preventive and corrective maintenance.",False
Data Center and Physical Protection Guideline_v.2.0,19.6,19.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"A process should be established to ensure appropriate controls are implemented when equipment is scheduled for maintenance, considering whether this maintenance is performed by personnel on-site or external; where necessary, confidential and strictly confidential information must be cleared from the equipment, or the maintenance personnel must be sufficiently cleared.","A process should be established to ensure appropriate controls are implemented when equipment is scheduled for maintenance, considering whether this maintenance is performed by personnel on-site or external; where necessary, confidential and strictly confidential information must be cleared from the equipment, or the maintenance personnel must be sufficiently cleared.",False
Data Center and Physical Protection Guideline_v.2.0,19.7,19.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Before putting equipment back into operation, it should be inspected based on a risk-based approach.","Before putting equipment back into operation, it should be inspected based on a risk-based approach.",False
Data Center and Physical Protection Guideline_v.2.0,19.8,19.8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,All remote access for maintenance purposes is subject to the same security requirements as all access to infrastructure of the respective legal entity.,All remote access for maintenance purposes is subject to the same security requirements as all access to infrastructure of the respective legal entity.,False
Data Center and Physical Protection Guideline_v.2.0,19.9,19.9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,IT Assets and physical access control devices must be appropriately maintained.,IT Assets and physical access control devices must be appropriately maintained.,False
Data Center and Physical Protection Guideline_v.2.0,2,2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Data center locations must meet the following constructional criteria:,Data center locations must meet the following constructional criteria:,False
Data Center and Physical Protection Guideline_v.2.0,2.1,2.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Security areas must be in inconspicuous, unexposed position. (CON01.01)","Security areas must be in inconspicuous, unexposed position. (CON01.01)",False
Data Center and Physical Protection Guideline_v.2.0,2.10,2.10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Reserved areas must be provided if the concept of operation provides for the temporary use of technical installations. (CON01.11),Reserved areas must be provided if the concept of operation provides for the temporary use of technical installations. (CON01.11),False
Data Center and Physical Protection Guideline_v.2.0,2.11,2.11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Renting parts of the data center to a third party must be limited. (CON02.01),Renting parts of the data center to a third party must be limited. (CON02.01),False
Data Center and Physical Protection Guideline_v.2.0,2.12,2.12,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Data center buildings must have a lightning protection system. (CON03.01),Data center buildings must have a lightning protection system. (CON03.01),False
Data Center and Physical Protection Guideline_v.2.0,2.13,2.13,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Data center buildings must have a protective type of construction. (CON04.01),Data center buildings must have a protective type of construction. (CON04.01),False
Data Center and Physical Protection Guideline_v.2.0,2.14,2.14,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,IT zones must have intrusion resistant security boundaries. (CON04.02),IT zones must have intrusion resistant security boundaries. (CON04.02),False
Data Center and Physical Protection Guideline_v.2.0,2.15,2.15,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Technical zones must be secured in accordance with EN 1627. (CON04.03),Technical zones must be secured in accordance with EN 1627. (CON04.03),False
Data Center and Physical Protection Guideline_v.2.0,2.16,2.16,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Windows in the security area must be avoided. (CON04.04),Windows in the security area must be avoided. (CON04.04),False
Data Center and Physical Protection Guideline_v.2.0,2.17,2.17,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,All access possibilities for individuals to IT and technical rooms must be secured. (CON04.05),All access possibilities for individuals to IT and technical rooms must be secured. (CON04.05),False
Data Center and Physical Protection Guideline_v.2.0,2.18,2.18,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Transfer points of supply networks and outdoor installations must be protected. (CON04.06),Transfer points of supply networks and outdoor installations must be protected. (CON04.06),False
Data Center and Physical Protection Guideline_v.2.0,2.19,2.19,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,A protective zone shell model must be implemented. (CON04.07A),A protective zone shell model must be implemented. (CON04.07A),False
Data Center and Physical Protection Guideline_v.2.0,2.2,2.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Building areas with potential hazards must be avoided. (CON01.02),Building areas with potential hazards must be avoided. (CON01.02),False
Data Center and Physical Protection Guideline_v.2.0,2.20,2.20,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Outer protection zone boundaries must be implemented. (CON04.08A),Outer protection zone boundaries must be implemented. (CON04.08A),False
